                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.86304,                0.52169,                0.91119,                0.95453,                0.89749,                0.95299,                0.70722,                0.90962,                 0.5528,                0.93677,              0.0092872,              0.0092872,              0.0092872
                     74,                0.85681,                0.51201,                0.91112,                 0.9098,                0.92598,                0.94702,                0.71585,                0.90042,                0.58155,                0.93398,              0.0092773,              0.0092773,              0.0092773
                     75,                0.84725,                0.51026,                0.90278,                0.93958,                0.89625,                0.94401,                0.70815,                0.92065,                0.61005,                0.93759,              0.0092674,              0.0092674,              0.0092674
                     76,                0.84473,                0.50542,                0.90812,                0.92334,                0.92269,                0.96023,                0.72492,                0.91119,                0.57993,                0.93706,              0.0092575,              0.0092575,              0.0092575
                     77,                 0.8371,                0.50186,                0.90125,                0.94476,                0.91573,                0.95294,                0.71641,                0.92726,                0.54958,                0.95245,              0.0092476,              0.0092476,              0.0092476
                     78,                0.83406,                0.50206,                 0.9016,                0.92955,                0.89863,                0.94771,                0.72061,                 0.9027,                0.55796,                0.93205,              0.0092377,              0.0092377,              0.0092377
                     79,                0.83549,                0.51049,                0.89837,                0.92123,                0.92836,                0.96442,                0.73208,                 0.8975,                0.55604,                0.92812,              0.0092278,              0.0092278,              0.0092278
                     80,                0.82628,                0.50136,                0.90471,                0.93525,                0.89889,                0.95143,                0.71241,                0.88913,                0.57144,                0.93187,              0.0092179,              0.0092179,              0.0092179
                     81,                0.84667,                 0.5114,                0.90596,                0.92199,                0.91596,                0.94291,                0.70252,                0.89738,                0.58704,                0.93954,               0.009208,               0.009208,               0.009208
                     82,                0.83869,                0.50528,                0.90681,                0.92293,                 0.9315,                0.95308,                0.71997,                0.92611,                0.55077,                0.95756,              0.0091981,              0.0091981,              0.0091981
                     83,                0.83917,                0.50575,                0.90187,                0.93776,                0.90588,                0.94993,                0.72716,                0.87936,                0.54502,                0.92658,              0.0091882,              0.0091882,              0.0091882
                     84,                0.82734,                0.49675,                0.90394,                0.91907,                0.92737,                0.93786,                0.71468,                0.86367,                0.56688,                 0.9174,              0.0091783,              0.0091783,              0.0091783
